T_K,T_C,vertex,fraction,CU,NI,CR,SI
1445.65,1172.5,0,0.01748118516112352,0.07723948823282421,0.01258704961838798,0.6168911060552872,0.29328235609350073
1445.65,1172.5,1,0.9825188148504993,0.008435880336372048,0.9570040435537304,0.021616244062612176,0.012943832047285372
1446.15,1173.0,0,0.017445223114139475,0.07713694488442008,0.012610567108510724,0.6169206624729461,0.293331825534123
1446.15,1173.0,1,0.9825547769280221,0.008440219235447941,0.9569690598175522,0.02163750668143554,0.012953214265564374
1446.65,1173.5,0,0.017409258073140373,0.07703457412045112,0.012634115687155757,0.6169500633212233,0.2933812468711699
1446.65,1173.5,1,0.9825907419407355,0.008444547473001255,0.9569340769415529,0.02165877446696986,0.012962601118476066
1447.15,1174.0,0,0.017373290041918513,0.0769323755775801,0.012657695385595802,0.6169793088363007,0.29343062020052335
1447.15,1174.0,1,0.9826267099739932,0.00844886504926311,0.9568990949330013,0.02168004740895086,0.012971992608784793
1447.65,1174.5,0,0.0173373190176978,0.07683034934323626,0.012681306237987224,0.617008398933836,0.2934799454849405
1447.65,1174.5,1,0.9826626810220667,0.008453172004173191,0.9568641137713325,0.021701325493283127,0.012981388731211355
1448.15,1175.0,0,0.017301344971832056,0.0767284952261432,0.012704948276650972,0.6170373337455763,0.29352922275162957
1448.15,1175.0,1,0.9826986550485688,0.008457468353469333,0.9568291334543849,0.02172260871329517,0.012990789478850651
1448.65,1175.5,0,0.01726536790247729,0.07662681308977808,0.01272862153454766,0.6170661133359836,0.29357845203969074
1448.65,1175.5,1,0.982734632129178,0.008461754117658147,0.9567941539741764,0.021743897053977567,0.013000194854187746
1449.15,1176.0,0,0.017229387803698728,0.07652530288465319,0.01275232604514258,0.6170947377208631,0.29362763334934117
1449.15,1176.0,1,0.982770612207813,0.008466029325194519,0.9567591753182249,0.021765190503294493,0.013009604853286205
1449.65,1176.5,0,0.017193404649630716,0.07642396436644867,0.012776061840704683,0.6171232070566297,0.293676766736217
1449.65,1176.5,1,0.9828065953848044,0.008470293987419391,0.956724197486172,0.021786489051507953,0.013019019474900684
1450.15,1177.0,0,0.017157418420544347,0.07632279753515558,0.012799828955220877,0.6171515213142824,0.29372585219534103
1450.15,1177.0,1,0.9828425816047478,0.008474548137439728,0.9566892204613235,0.021807792683540446,0.013028438717696322
1450.65,1177.5,0,0.017121429132340375,0.07622180221506528,0.012823627421455265,0.6171796806088936,0.2937748897545858
1450.65,1177.5,1,0.9828785708840417,0.008478791793026038,0.9566542442393287,0.021829101391215782,0.01303786257642945
1451.15,1178.0,0,0.01708543674533872,0.07612097821263342,0.012847457272196766,0.6172076850584205,0.2938238794567493
1451.15,1178.0,1,0.982914563280086,0.00848302497039665,0.9566192688160412,0.021850415163816778,0.013047291049745474
1451.65,1178.5,0,0.017049441252822806,0.07602032553207486,0.012871318541663955,0.6172355346296291,0.29387282129663217
1451.65,1178.5,1,0.9829505587516618,0.00848724770354935,0.9565842941738436,0.021871733985990235,0.013056724136616796
1452.15,1179.0,0,0.017013442677423093,0.07591984381854944,0.01289521126150367,0.6172632295799647,0.2939217153399823
1452.15,1179.0,1,0.9829865573545612,0.008491459994646573,0.9565493203204948,0.021893057855433676,0.013066161829424851
1452.65,1179.5,0,0.01697744097062146,0.07581953320174024,0.01291913546709982,0.6172907697615411,0.2939705615696188
1452.65,1179.5,1,0.9830225590497585,0.008495661889124914,0.956514347228027,0.02191438674865639,0.01307560413419186
1453.15,1180.0,0,0.01694143610866704,0.07571939344296826,0.012943091191041929,0.6173181553415704,0.29401936002441925
1453.15,1180.0,1,0.983058563910063,0.008499853399811574,0.9564793748959215,0.02193572066028502,0.013085051043982063
1453.65,1180.5,0,0.01690542812330639,0.0756194244078068,0.012967078466720254,0.6173453864053478,0.2940681107201253
1453.65,1180.5,1,0.9830945718935887,0.008504034548983224,0.9564444033162779,0.02195705958190643,0.013094502552832371
1454.15,1181.0,0,0.01686941695061871,0.07551962583413956,0.012991097327057475,0.6173724630947213,0.2941168137440817
1454.15,1181.0,1,0.9831305830717603,0.008508205347245319,0.956409432486481,0.021978403496660064,0.013103958669613806
1454.65,1181.5,0,0.01683340263462393,0.07541999781764931,0.01301514780697706,0.6173993853424221,0.2941654690329516
1454.65,1181.5,1,0.9831665973802817,0.008512365838077879,0.9563744623844773,0.021999752397300863,0.0131134193801439
1455.15,1182.0,0,0.016797385102096895,0.07532054001915525,0.013039229938884504,0.6174261533596196,0.2942140766823407
1455.15,1182.0,1,0.9832026149088852,0.008516516025433928,0.9563394930134834,0.02202110627178765,0.013122884689295016
1455.65,1182.5,0,0.016761364375539965,0.07522125236815591,0.01306334375692996,0.6174527671755149,0.2942626366993992
1455.65,1182.5,1,0.9832386356409458,0.008520655937850721,0.956304524360048,0.022042465108319604,0.01313235459378167
1456.15,1183.0,0,0.016725340454416694,0.07512213480629452,0.01308748929535176,0.6174792268172794,0.2943111490810743
